video_name,is_speaker,avg_min_l2,frame_count
002,0,0.0767711668879308,731
002,1,0.1686762229966875,241
007,0,0.0265533640765053,714
007,1,0.0535779433345612,268
011,0,0.1732965687567957,1319
011,1,0.2170517253726731,228
012,0,0.1394531089772825,1316
012,1,0.0990904825814333,180
025,0,0.2607241494111201,896
025,1,0.1480470316589503,446
overall_summary,0,0.14485251776977154,4976
overall_summary,1,0.1381972963502446,1363067,0,0.29364640368417017,984
068,0,0.08380445348699556,150
068,1,0.17384240589193906,343
